Title,Alt Name,CODE,Season,Episode,Resolution,Rating,Watched,Creator,Producer,Year,Season,Genre,Subgenre,Source,link,Review,Clean,Unclean,Subbed,Left,Downloaded,Filtered
Joukamachi No Dandelion,,6,9,,720p,C,2015,,,2015,Summer,,,,,,,,,,,
Just Because!,,1,COM,,720p,B,2017,Pine Jam ,,2017,Fall,Slice of Life,School,,https://myanimelist.net/anime/35639/Just_Because,,,,,,,
Juuni Taisen,,1,COM,,1080p,B,2017,Graphinica ,,2017,Fall,Action,Deathmatch,,https://myanimelist.net/anime/35076/Juuni_Taisen?q=Juuni Taisen,,,,,,,
K ,,2,14,,1080p,,,,,,,,,,,,,,,,,
Kabaneri of the Iron Fortress,,1,,,1080p,B+,2016,Studio Wit,,2016,Spring,Fantasy,Posr Apocalptic,Original,,,,,,,,
Kara No Kyoukai,Garden of Sinners,3,7,,1080p,,,Ufotable,Aniplex ,2007,Winter,Supernatural,,Light Novel,https://myanimelist.net/anime/2593/Kara_no_Kyoukai_1__Fukan_Fuukei?q=gard,,,,,,COM,
Kateikyou Hitman Reborn ,,13,COM,COM,,,,Artland,TV Tokyo ,2006,Fall,Super Power,Shounen,Manga,https://myanimelist.net/anime/1604/Katekyo_Hitman_Reborn?q=Kateikyou Hitman Reborn ,COM,1,,TRUE,all,COM,
Kaze ga Tsuyoku Fuiteiru,,1,COM,,720p,B+,2018,,,,,,,,,,,,,,,
Kill La Kill,,1,COM,,1080p,,,Trigger,Aniplex ,2013,Fall,Action,Super Power,Original,https://myanimelist.net/anime/18679/Kill_la_Kill?q=Kill La Kill,,,,,all,,
Kino no Tabi: The Beautiful World,,1,COM,,720p,B+,2017,A.C.G.T. ,ADV Films ,2017,Fall,Adventure,,Light Novel,https://myanimelist.net/anime/486/Kino_no_Tabi__The_Beautiful_World?q=Kino no Tabi,,,,,,,
Kiznaiver,,1,COM,,1080p,B-,2016,Trigger,Aniplex ,2016,Spring,Action,Psychological,Original,,,,,,,,
Knight's & Magic,,1,COM,,720p,B-,2017,8-Bit,,2017,Summer,Fantasy,Mecha,,https://myanimelist.net/anime/34104/Knights___Magic?q=knight,,,,,,,
Koi to Uso,,5,4,,,,,LIDENFILMS ,,2017,Summer,Drama,Romance,,https://myanimelist.net/anime/34934/Koi_to_Uso?q=koi to,,,,,,,
Kokkoku,,6,,,720p,,,Geno Studio ,,2018,Winter,Seinin,Mystery,Manga,https://myanimelist.net/anime/36548/Kokkoku,,,,,,,
Kono Subarashii Sekai ni Shukufuku wo!,,1,2,10,1080p,B,2016,Studio Deen ,Half H.P Studio ,2016,Winter,Comidy,Isekai,Light Novel,https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo?q=kono su,,,,,,,
Koukaku no Pandora,,6,,,720p,C,2016,,,2016,Winter,,,,,,,,,,,
Kuroko's Basketball ,,1,COM,,1080p,B,MULTIPLE,Production I.G ,Bandai Visual ,2012,Summer,Sports,Superpowers,Manga,https://myanimelist.net/anime/11771/Kuroko_no_Basket?q=kuro,,1-OP2,,FALSE,all,,
Kuromokuro,,1,,,1080p,B,2016,P.A. Works,,2016,Spring,,,,,,,,,,,
Kuusen Madoushi Kouhosei...,,1,COM,,720p,C+,2015,,,2015,Summer,,,,,,,,,,,
Kuzu no Honkai ,,6,1,9,720p,,,Lerche ,Aniplex ,2017,Winter,Romance,Highschool,Manga,https://myanimelist.net/anime/32949/Kuzu_no_Honkai?q=Kuzu no Honkai ,,,,,,,
Legend of the Galactic Heroes,,1,COM,,720p,A+,2019,Artland ,Kitty Films ,1988,MULTIPLE,Sci Fi,Space Opera,Novel,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,,,,,,,
Legend of the Galactic Heroes: The New Thesis - Encounter,,2,,,1080p,,,Production I.G ,,2018,,Sci Fi,Space Opera,Novel,https://myanimelist.net/anime/31433,,,,,,,
Log Horizon,,1,2,COM,1080p,B+,2013,Satelight ,NHK ,2013,Fall,Fantasy,Isekai,Novel,https://myanimelist.net/anime/17265/Log_Horizon?q=Log Horizon,,1,,TRUE,all,,
Luck and Logic,,6,7,,1080p,C+,2016,Doga Kobo ,Bandai Visual ,2016,Winter,Action,Superpowers,Game,,,,,,,,
Made in Abyss,,1,COM,,1080p,A,2017,Kinema Citrus ,,2017,Summer,Fantasy,Thriller,Web Manga,https://myanimelist.net/anime/34599/Made_in_Abyss,,,,,,,
Mahoutsukai no Yome ,The Ancient Magus' Bride,1,COM,,1080p,A,2018,Studio Wit,,2017,Winter,Fantasy,Drama,Manga,https://myanimelist.net/anime/35062/Mahoutsukai_no_Yome?q=mahou,,,,,,,
Märchen Mädchen,,2,,,720p,,,Hoods Entertainment ,,2018,Winter,Magic,School,Light Novel,https://myanimelist.net/anime/35997/Märchen_Mädchen,,,,,,,
Mayoiga,,6,,,,,,,,,,,,,,,,,,,,
Megalo Box,,1,1,COM,1080p,A,2018,TMS,TBS ,2018,Spring,Sports,Boxing,Original,https://myanimelist.net/anime/36563,,,,,,,
Mirai Nikki,,1,COM,COM,,,,Asread,Lantis ,2011,Fall,Psychologinal,Deathmatch,Manga,https://myanimelist.net/anime/10620/Mirai_Nikki?q=Mirai Nikki,,OP,,TRUE,all,,
Mobile Suit Gundam - Iron-Blooded Orphans ,,1,COM,,,,2015,Sunrise,Sotsu ,2015,Fall,Mecha,Shounen,Original,https://myanimelist.net/anime/31251/Mobile_Suit_Gundam__Iron-Blooded_Orphans?q=Mobile Suit Gundam - Iron-Blooded Orphans ,,COM,,,,,
Mobile Suit Gundam - The Origin,,2,,,,,,Sunrise,,2015,Spring,Mecha,Military,Manga,https://myanimelist.net/anime/10937/Mobile_Suit_Gundam__The_Origin?q=Mobile Suit Gundam - The Origin,,,,,,,
Mobile Suit Gundam - Wing,,13,COM,,,,,Sunrise,TV Asahi ,1995,Spring,Mecha,Military,Original,https://myanimelist.net/anime/90/Mobile_Suit_Gundam_Wing?q=Mobile Suit Gundam - Wing,,COM,,TRUE,,COM,
Mobile Suit Gundam – Unicorn RE 0096,,1,COM,,1080p,,2016,Sunrise,Bandai Visual ,2016,Spring,Mecha,Military,Novel,https://myanimelist.net/anime/32792/Mobile_Suit_Gundam_Unicorn_RE_0096?q=RE 00,,,,,,,
Monster,,1,COM,,720p,,2015,Madhouse,VAP ,2004,Spring,Psychologinal,,Manga,https://myanimelist.net/anime/19/Monster?q=Monster,,,,,,,
